horn.length,group
25.2,living
26.9,living
26.6,living
25.6,living
25.7,living
25.9,living
27.3,living
25.1,living
30.3,living
25.6,living
26,living
24.6,living
25.6,living
25.3,living
23.5,living
24.5,living
23.3,living
26,living
23.9,living
27.3,living
25.4,living
25.5,living
21.4,living
23.8,living
25.5,living
19.2,living
20.7,living
19.2,living
25.5,living
20.5,living
20.6,living
24.9,living
23.7,living
23.4,living
25.6,living
26.6,living
27.7,living
25.7,living
27,living
26.5,living
25,living
19.7,living
27.1,living
23,living
22.7,living
25.8,living
28.8,living
23.5,living
23.2,living
25.3,living
23.8,living
25.1,living
26.7,living
27.1,living
22.5,living
25.5,living
24.4,living
25.6,living
20.6,living
25.5,living
24.5,living
23,living
27.6,living
27.3,living
20.7,living
26,living
25.1,living
19.9,living
23.5,living
24.8,living
22.4,living
24.7,living
27.5,living
21.5,living
24,living
22.4,living
21.3,living
25,living
24.3,living
24.5,living
23.6,living
21.1,living
25.6,living
26.1,living
23.7,living
24.2,living
23.2,living
26.5,living
28.1,living
24.1,living
29.5,living
24,living
26.8,living
25.8,living
23.3,living
22.4,living
24.2,living
26.1,living
23.2,living
21.7,living
24.7,living
21.4,living
18.5,living
23.2,living
,living
21.5,living
29.1,living
21.7,living
23.5,living
23,living
20,living
21.9,living
27.4,living
27.1,living
23.1,living
23.8,living
26.5,living
27,living
26.4,living
26.3,living
20.6,living
24.5,living
22.8,living
25.5,living
25.3,living
28,living
20.8,living
25.9,living
24,living
22.5,living
26.3,living
23.3,living
24.5,living
21.6,living
23.6,living
23,living
22.4,living
27.4,living
25,living
23.9,living
28.2,living
27.2,living
13.1,living
22.9,living
26.6,living
25.8,living
26.3,living
20.9,living
25.6,living
24.8,living
19.2,living
27.4,living
24.2,living
15.7,living
17.7,living
21.4,killed
23.9,killed
23.2,killed
22.6,killed
22.5,killed
19.3,killed
23.5,killed
23.4,killed
19,killed
21.7,killed
20.2,killed
26.7,killed
21.7,killed
21,killed
23.9,killed
24.6,killed
21.6,killed
25.3,killed
25,killed
25.2,killed
15.2,killed
22.9,killed
21.4,killed
23.9,killed
17.2,killed
15.5,killed
22,killed
22,killed
23.1,killed
20.7,killed
