"group","slope"
"breeding male",0.31
"breeding male",0.34
"breeding male",0.3
"breeding male",0.38
"breeding male",0.35
"breeding male",0.33
"breeding female",0.3
"breeding female",0.32
"breeding female",0.23
"breeding female",0.38
"breeding female",0.31
"breeding female",0.26
"breeding female",0.41
"breeding male",0.32
"breeding male",0.32
"breeding female",0.28
"breeding female",0.35
"breeding male",0.37
"molting female",0.25
"molting female",0.41
"molting female",0.32
"molting female",0.34
"molting female",0.27
"molting female",0.23
