"habitat","conemass","location","squirrels"
"island absent",9.6,"island","absent"
"island absent",9.4,"island","absent"
"island absent",8.9,"island","absent"
"island absent",8.8,"island","absent"
"island absent",8.5,"island","absent"
"island absent",8.2,"island","absent"
"island present",6.8,"island","present"
"island present",6.6,"island","present"
"island present",6,"island","present"
"island present",5.7,"island","present"
"island present",5.3,"island","present"
"mainland present",6.7,"mainland","present"
"mainland present",6.4,"mainland","present"
"mainland present",6.2,"mainland","present"
"mainland present",5.7,"mainland","present"
"mainland present",5.6,"mainland","present"
