treatment,percent.stretching,trt
Both Writhing,36.7,bw
Both Writhing,81.1,bw
Both Writhing,66.7,bw
Both Writhing,66.7,bw
Both Writhing,44.4,bw
Both Writhing,54.4,bw
Both Writhing,63.3,bw
Both Writhing,62.2,bw
Both Writhing,58.9,bw
Both Writhing,50,bw
Both Writhing,54.4,bw
Both Writhing,57.8,bw
One Writhing,56.7,ow
One Writhing,51.1,ow
One Writhing,50,ow
One Writhing,51.1,ow
One Writhing,44.4,ow
One Writhing,2.2,ow
One Writhing,41.1,ow
One Writhing,33.3,ow
One Writhing,25.6,ow
One Writhing,22.2,ow
One Writhing,14.4,ow
One Writhing,3.3,ow
One Writhing,64.4,ow
Isolated,46.7,iso
Isolated,38.9,iso
Isolated,65.6,iso
Isolated,35.6,iso
Isolated,32.2,iso
Isolated,30,iso
Isolated,41.1,iso
Isolated,63.3,iso
Isolated,0,iso
Isolated,53.3,iso
Isolated,22.2,iso
Isolated,48.9,iso
Isolated,5.6,iso
Isolated,14.4,iso
Isolated,46.7,iso
Isolated,45.6,iso
Isolated,42.2,iso
